Impression_ID,Userid,Listing_ID,Plus,Rank,Price,Booked
124,3ub5YQ21,11815241,0,4,282,0
125,3ub5YQ21,13140432,0,5,235,1
126,3ub5YQ21,14068513,0,6,282,0
127,3ub5YQ21,14071933,0,7,282,0
128,3ub5YQ21,14072680,0,8,282,0
129,3ub5YQ21,20322055,0,9,252,0
130,3ub5YQ21,20322202,0,10,223,0
131,3ub5YQ21,21062970,0,11,235,0
132,3ub5YQ21,21267121,0,12,282,0
133,3ub5YQ21,27668343,0,13,250,0
134,3ub5YQ21,28483791,0,14,124,0
135,3ub5YQ21,28488431,0,15,208,0
136,3ub5YQ21,28495316,0,16,150,0
137,3ub5YQ21,31571374,0,17,243,0
138,3ub5YQ21,31802949,0,18,200,0
139,3ub5YQ21,32118568,0,19,173,0
140,3ub5YQ21,36104319,0,20,188,0
141,3ub5YQ21,36637796,0,21,178,0
142,3ub5YQ21,36982780,0,22,95,0
143,3ub5YQ21,38022100,0,23,203,0
144,3ub5YQ21,38123319,0,24,210,0
145,3ub5YQ21,38151123,0,25,210,0
146,3ub5YQ21,38678234,0,26,399,0
147,3ub5YQ21,39007825,0,27,174,0
148,3ub5YQ21,39359174,0,28,219,0
149,3ub5YQ21,39569048,0,29,175,0
150,3ub5YQ21,40536667,0,30,234,0
151,3ub5YQ21,42049771,0,31,169,0
152,3ub5YQ21,43123765,0,32,245,0
153,3ub5YQ21,43156280,0,33,182,0
154,3ub5YQ21,43348175,0,34,200,0
155,3ub5YQ21,43367113,0,35,185,0
156,3ub5YQ21,43820536,0,36,189,0
157,3ub5YQ21,44519908,0,37,100,0
158,3ub5YQ21,44608896,0,38,227,0
159,3ub5YQ21,45053706,0,39,160,0
160,3ub5YQ21,45469731,0,40,178,0
161,4adOPGDu,793723,0,1,250,0
162,4adOPGDu,5374761,0,2,210,0
163,4adOPGDu,7576657,0,3,186,0
164,4adOPGDu,11815241,0,4,282,0
165,4adOPGDu,13140432,0,5,235,0
166,4adOPGDu,14068513,0,6,282,0
167,4adOPGDu,14071933,0,7,282,0
168,4adOPGDu,14072680,0,8,282,0
169,4adOPGDu,20322055,0,9,252,0
170,4adOPGDu,20322202,0,10,223,0
171,4adOPGDu,21062970,0,11,235,0
172,4adOPGDu,21267121,0,12,282,0
173,4adOPGDu,27668343,0,13,250,0
174,4adOPGDu,28483791,0,14,124,0
175,4adOPGDu,28488431,0,15,208,0
176,4adOPGDu,28495316,0,16,150,0
177,4adOPGDu,31571374,0,17,243,0
178,4adOPGDu,31802949,0,18,200,0
179,4adOPGDu,32118568,0,19,173,0
180,4adOPGDu,36104319,0,20,188,0
181,4adOPGDu,36637796,0,21,178,0
182,4adOPGDu,36982780,0,22,95,0
183,4adOPGDu,38022100,0,23,203,0
184,4adOPGDu,38123319,0,24,210,0
185,4adOPGDu,38151123,0,25,210,1
186,4adOPGDu,38678234,0,26,399,0
187,4adOPGDu,39007825,0,27,174,0
188,4adOPGDu,39359174,0,28,219,0
189,4adOPGDu,39569048,0,29,175,0
190,4adOPGDu,40536667,0,30,234,0
191,4adOPGDu,42049771,0,31,169,0
192,4adOPGDu,43123765,0,32,245,0
193,4adOPGDu,43156280,0,33,182,0
194,4adOPGDu,43348175,0,34,200,0
195,4adOPGDu,43367113,0,35,185,0
196,4adOPGDu,43820536,0,36,189,0
197,4adOPGDu,44519908,0,37,100,0
198,4adOPGDu,44608896,0,38,227,0
199,4adOPGDu,45053706,0,39,160,0
200,4adOPGDu,45469731,0,40,178,0
201,4Sn6oOU6,793723,0,1,250,0
202,4Sn6oOU6,5374761,0,2,210,0
203,4Sn6oOU6,7576657,0,3,186,0
204,4Sn6oOU6,11815241,0,4,282,0
205,4Sn6oOU6,13140432,0,5,235,0
206,4Sn6oOU6,14068513,0,6,282,0
207,4Sn6oOU6,14071933,0,7,282,0
208,4Sn6oOU6,14072680,0,8,282,0
209,4Sn6oOU6,20322055,0,9,252,0
210,4Sn6oOU6,20322202,0,10,223,0
211,4Sn6oOU6,21062970,0,11,235,0
212,4Sn6oOU6,21267121,0,12,282,0
213,4Sn6oOU6,27668343,0,13,250,0
214,4Sn6oOU6,28483791,0,14,124,0
215,4Sn6oOU6,28488431,0,15,208,0
216,4Sn6oOU6,28495316,0,16,150,0
217,4Sn6oOU6,31571374,0,17,243,0
218,4Sn6oOU6,31802949,0,18,200,0
219,4Sn6oOU6,32118568,0,19,173,0
